file,line,import
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWarehouseCraftingStation.java,4,net.minecraft.inventory.ClickType
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWarehouseCraftingStation.java,5,net.minecraft.world.inventory.Slot
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWarehouseCraftingStation.java,6,net.minecraft.world.item.ItemStack
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWarehouseInterface.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWarehouseStockLinker.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWarehouseStockViewer.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWarehouseStorage.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWarehouseStorage.java,4,net.minecraft.world.inventory.Slot
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWarehouseStorage.java,5,net.minecraft.world.item.ItemStack
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteAnimalControl.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteAnimalFarm.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteAutoCrafting.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteAutoCrafting.java,4,net.minecraft.world.inventory.Slot
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteAutoCrafting.java,5,net.minecraft.world.item.ItemStack
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteBase.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteBase.java,4,net.minecraft.world.inventory.Slot
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteBase.java,5,net.minecraft.world.item.ItemStack
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteBoundsAdjust.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteCropFarm.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteFishControl.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteFishFarm.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteFruitFarm.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteInventorySideSelection.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteQuarry.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteQuarryBounds.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/container/ContainerWorksiteTreeFarm.java,3,net.minecraft.world.entity.player.Player
src/main/java/net/shadowmage/ancientwarfare/automation/datafixes/ItemMapDataWalker.java,5,net.minecraft.world.level.block.entity.BlockEntity
src/main/java/net/shadowmage/ancientwarfare/automation/gamedata/MailboxData.java,3,net.minecraft.world.item.ItemStack
src/main/java/net/shadowmage/ancientwarfare/automation/gamedata/MailboxData.java,7,net.minecraft.world.level.Level
src/main/java/net/shadowmage/ancientwarfare/automation/gamedata/MailboxData.java,8,net.minecraft.world.level.saveddata.SavedData
src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiChunkLoaderDeluxe.java,3,net.minecraft.world.level.ChunkPos
src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWarehouseControl.java,4,net.minecraft.world.item.ItemStack
src/main/java/net/shadowmage/ancientwarfare/automation/gui/GuiWarehouseInterface.java,3,net.minecraft.world.item.ItemStack
